SNname,pcov,dmstd
SN2022hrs,[0.91478551 0.2421841  0.04606337 0.00264294],0.116
ASASSN-15ti,[2.22732648e+00 1.37036680e-01 9.89152921e-01 7.67145597e-05],0.0
ASASSN-15so,[2.51811542e+01 2.56797526e+00 2.91267786e-01 1.69689046e-03],0.115
SN2015ar,[1.08394847 0.26467773 2.76164194 0.00317775],0.0
ASASSN-15rw,[1.97668080e+01 1.38624106e+00 3.18482237e+00 5.31482386e-04],0.0
ASASSN-15rq,[3.24811551e+00 2.08156914e-01 4.72125082e+00 1.61395707e-03],0.0
SN2015ak,[2.09858381e+03 8.70865812e+01 1.88198686e+00 3.19946688e-03],0.0
SN2015F,[0.03161022 0.0134898  0.00900836 0.00036087],0.031
ASASSN-15ar,[3.93040497e+06 1.50674487e+05 5.28421833e+03 1.06702140e-01],0.0
iPTF14atg,[1.13483425e+03 8.42479774e+01 2.54195936e+00 9.93677769e-03],0.0
ASASSN-14lw,[3.03876429e+00 1.92633387e-01 1.71027108e+00 5.46453042e-04],0.043
ASASSN-14lp,[0.04729349 0.02061571 0.01078291 0.00047612],0.036
SN2014eg,[1.84924896e+01 1.71620334e+00 7.65427859e+00 8.52679929e-03],0.0
iPTF14bdn,[1.04863733e+00 2.03968327e-01 4.04177278e-02 1.00037539e-03],0.066
PS1-14xw,[1.33465455e+03 8.01751991e+01 9.07731345e+00 4.32001513e-03],0.0
SN2014ap,[1.14841216e+03 9.54216453e+01 3.88271311e+01 1.53424752e-02],0.0
SN2014ai,[1.22030432e+01 8.38978931e-01 2.00590078e+01 6.96427205e-03],0.0
SN2014J,[0.18934391 0.04973778 0.00842538 0.00027547],0.033
iPTF13ebh,[0.95742697 0.28630736 0.09702376 0.00249129],0.115
iPTF13dge,[8.78634226e+00 1.08610233e+00 2.62647411e-01 1.62437235e-03],0.081
SN2013gy,[0.63533835 0.22290006 0.10283528 0.0032336 ],0.116
SN2013gs,[6.71315503e+01 5.97243213e+00 3.25933846e-01 1.83794718e-03],0.0
