SNname,weight1,weight2,weight3,peak_mjd,peak_mag,peak_phase,dM15,resid
ASASSN-15ti,15.183834384575798,-8.00709534594145,-1.1288725716040122,0.0,19.031161597218272,1.772539370080711,0.0,0
ASASSN-15so,-5.853468446199628,-1.9435306006778168,0.02211506382260331,57343.14975795796,16.191784831228805,0.0990645064114446,1.798,1
SN2015ar,-6.41119907215455,-1.387021806300097,-0.7881032423279223,0.0,17.610765806959336,2.346411012781023,0.0,0
ASASSN-15rw,28.077854105665992,-8.075420413147826,12.120832809222732,0.0,18.27185585982986,1.788252629467073,0.0,0
ASASSN-15rq,-5.001581955314661,-0.4330106855396161,-0.3540171839308089,0.0,17.292827403216698,0.835707317072353,0.0,0
SN2015ak,-30.474965022916845,4.278159272354148,-0.45907764398890666,0.0,18.09440612417797,0.09231588023522086,0.0,0
SN2015F,-6.718899372390584,-1.1982233755578675,-1.0544257680158433,57104.367496996994,16.371467520036084,0.057210942284787514,1.617,1
ASASSN-15ar,576.9524454517971,-116.94421731439546,24.22903779315855,0.0,20.003153736316058,0.8054132849998075,0.0,0
iPTF14atg,43.33179637712662,-17.96431074903906,1.8055253322833549,0.0,18.10384736325542,0.09278485145549631,0.0,0
ASASSN-14lw,-6.60807311839427,2.0201169238433874,-1.4073951483905403,57010.661865965965,18.458663954089996,0.08980055323854663,0.77,1
ASASSN-14lp,-5.855902058430187,0.21479599108485772,-0.8493457334900026,57013.72348918919,15.457769493566166,0.10297431760164777,1.195,1
SN2014eg,-12.618431537928105,4.602163902632673,-4.5403556046685605,0.0,18.68978119657278,5.298351933877115,0.0,0
iPTF14bdn,-3.8766780626207016,0.7983657138579491,0.0799683975591694,56820.0540975976,17.75295309051944,0.1024582653530608,0.928,1
PS1-14xw,-26.104024913039186,7.031245998839129,1.139643060017102,0.0,19.072447369951913,-2.9284179687536493,0.0,0
SN2014ap,38.191264068716364,-11.333587487429753,3.939078193133285,0.0,19.33635468147058,2.924999999997624,0.0,0
SN2014ai,-6.337638387063489,-0.16031575788402003,-5.227624353475227,0.0,19.309925742614123,1.1565982404687076,0.0,0
SN2014J,-3.62590227840335,0.6661193313568706,-0.4370588427070044,56689.27138498498,15.729102683513478,0.09129369129342635,0.904,1
iPTF13ebh,-3.647008288781352,-1.7509020440534313,-0.5129067638208219,56621.58290950951,18.389295694233677,0.07197384946403229,1.512,1
iPTF13dge,-12.856158592972369,3.0978108273478573,-2.898540682739426,56553.58513993994,18.399032622735728,-0.004783523679460444,0.97,1
SN2013gy,-6.052590558454438,-0.817575310468434,-1.377417453254323,56646.4599993994,17.834575133429283,0.029585206509887385,1.439,1
SN2013gs,4.066019008647226,-3.538572308526417,-0.042261033532071,0.0,18.64770475505717,0.09842989499344323,0.0,0
SN2013gh,30.850183853062543,-8.152500258412788,1.2131189334182237,0.0,17.56093518227566,0.10285181117643027,0.0,0
SN2013fw,6.996284900541675,-1.7986056247899693,-0.2749072090110121,0.0,18.298497765713382,0.0936874927989928,0.0,0
SN2013ex,-5.470291674666771,0.4937203143325536,1.689683128163961,0.0,17.633563501008094,2.212277227723948,0.0,0
SN2013dy,-2.607421544432901,-0.8051529466293855,-0.25076239348932455,56498.419076576574,16.13359677857027,0.09868184918024969,1.196,1
SN2013cs,-4.563770058030658,-0.20409524602561904,-0.6046655447232319,56435.30342672673,17.258244002657566,0.0727717806964554,1.199,1
SN2013cg,11.479789823513537,-5.987738574556121,-3.8875848468906717,0.0,17.724353218283873,2.978769841269645,0.0,0
SN2013bs,-42.76898509983703,12.884487061623116,15.856467020228044,0.0,19.385432826969343,2.606795316714333,0.0,0
SN2013ag,14.328052178781064,-5.761462679567123,4.664153915290288,0.0,18.858063000334337,3.321939275220498,0.0,0
SN2013aa,-6.570173488564848,0.1916931689492212,-0.46423230114495123,56340.92736966967,14.472869895708198,0.0969817426942936,1.291,1
SN2013E,-12.136928976703839,3.1839000705473754,-2.546687947829029,0.0,17.34186557855309,3.521856620203323e-05,0.0,0
LSQ12gdj,-4.046441261601519,0.4577644488321521,4.364832960057698,0.0,18.027302795166197,-2.089320388351323,0.0,0
SN2012ht,-5.070738510690374,-0.7552966331309423,-0.8636222462190053,56293.29396686687,15.89894402026104,0.06371201878777555,1.367,1
SN2012hr,-10.45799636816113,1.520412403843199,-1.8798805201883695,56287.43536846847,16.992847040386042,-0.004594773344060554,1.217,1
SN2012fr,-4.784022882089955,0.10558740714267967,-0.4230411143947511,56242.45784144144,14.86748961348338,0.06750392183402631,1.153,1
SN2012dn,-6.075414720347384,0.008773121343951917,-1.19811648765804,56126.225505205206,16.05299477789925,0.09455960911476069,1.244,1
SN2012cg,-6.759975454527761,-0.0816041990169647,-0.9260075206952525,56080.444552652654,15.085848643370426,0.06448816448967243,1.347,1
SN2012Z,-7.2991031750586135,1.681903162417819,1.4276094302767615,0.0,17.225188677450134,3.3624627606811117,0.0,0
SN2012V,-4.278631521573101,-1.0107380545329465,0.7082501948771059,0.0,17.8212309992986,0.1481701285847989,0.0,0
SN2011iv,-8.94897870747172,-2.024123319787165,-0.6932788796547776,55903.11517757758,15.14865928088571,0.0747292023632411,2.054,1
SN2011im,28.74557971714382,-9.409299720881728,14.374576393131058,0.0,19.08531552486226,1.92253937007976,0.0,0
SN2011ia,-5.078263816860817,-1.7532717425707833,-0.49010185818023505,0.0,17.631003993815032,1.224337585870875,0.0,0
SN2011hb,23.99080098109059,-7.232766404806897,2.2488843755948302,0.0,19.62162654682342,0.1874535371098025,0.0,0
SN2011fe,-7.569565497226021,-0.4978843205637869,-0.881516076990398,55812.88885025025,12.517405938438609,0.058791458792487816,1.529,1
SN2011ek,725.7341535598163,-141.4361068657836,31.728524133780827,0.0,19.445013219916586,1.5952049562028794,0.0,0
SN2011eh,16.26171971161528,-7.650500879153882,1.2285240077610007,0.0,19.23796100160621,0.10080696386515253,0.0,0
SN2011dn,-23.581796901082267,2.829921407465766,-7.875366399357708,0.0,18.9289145832766,-0.19304934202603208,0.0,0
SN2011dm,17.25052388880788,-4.018482748433206,-0.2946264884228727,0.0,19.088019506716233,0.09926672941992454,0.0,0
SN2011by,-6.8251867969969675,-0.43526570635645623,-1.3555878300104898,55688.47752352352,15.713482531446227,0.027441199925842596,1.414,1
