SNname,pcov,dmstd
SN2007S,[0.04735309 0.02506273 0.00802568 0.0003311 ],0.037
SN2006ej,[0.11171778 0.05060978 0.25159403 0.00060144],0.042
SN2006dm,[0.02962346 0.01339312 0.00630512 0.00017325],0.03
SN2006X,[0.06870456 0.03762621 0.06142521 0.00075195],0.05
SN2005ke,[0.02473672 0.01730256 0.01091626 0.0004213 ],0.038
SN2005cf,[0.04513832 0.01245905 0.00520857 0.00040444],0.031
SN2020hvf,[0.05578403 0.02722019 0.01157328 0.0012756 ],0.055
SN2019np,[0.08118555 0.03204401 0.00919087 0.00133192],0.054
SN2018ilu,[0.10285703 0.05640203 0.01292695 0.00116196],0.069
SN2018aoz,[0.21578859 0.19466537 0.03458241 0.004017  ],0.122
SN2017cbv,[0.09006733 0.0691294  0.32204773 0.00178415],0.0
SN2011fs,[5.56846880e+02 3.12433495e+01 1.15757108e+00 2.35703767e-03],0.0
ASASSN-14eu,[2.26430115e+04 8.43289128e+02 3.97455376e+01 3.01397240e-04],0.0
SN2013E,[1.21007188e+01 9.10306166e-01 2.57534227e-02 1.88957840e-04],0.0
SN2013gh,[9.19827410e+01 5.03601544e+00 1.34631542e-01 4.01010669e-04],0.0
SN2009dc,[2.66483403e-03 1.72120317e-03 3.15053745e-02 2.29919630e-05],0.0
SN2015I,[1.16633588e+04 4.41245259e+02 1.79365739e+01 3.58506594e-04],0.0
