SNname,weight1,weight2,weight3,peak_mjd,peak_mag,peak_phase,dM15,resid
SN2022hrs,-34.691312278081384,8.592401453053963,-12.8950355917422,0.0,17.67809532290374,5.401534409896474,0.0,0
ASASSN-15ti,20.807998747422427,-5.163951026991602,6.479033787578847,0.0,19.73405551090079,1.599242254065542,0.0,0
ASASSN-15so,-6.569476660713385,-2.279059952265727,-0.6515943721421651,57343.883266666664,16.68805195734605,0.09261833829719457,1.904,1
SN2015ar,-4.691644316301567,-1.7648167695380024,0.8725693933957027,57348.599781481484,18.03884269991105,0.09811355111173103,1.703,1
ASASSN-15rq,-8.118154428457489,-1.1280394585391735,-5.754616724004614,0.0,17.244473490108494,0.6725853658565207,0.0,0
SN2015F,-5.0611533908096416,-1.865581501055773,-0.8833774283308683,57106.330055855855,17.52677310198105,0.06970731925549423,1.646,1
iPTF14atg,-21.906171403380718,-0.16767365670248566,-0.6046736691866906,0.0,18.013965760624465,0.09454527985490202,0.0,0
ASASSN-14lw,-1.5329299995472927,1.529173830597001,-0.04429410588909444,57013.120294994995,19.379711249348173,0.09804007331378983,0.521,1
ASASSN-14lp,-4.9923759215054515,0.012923168401475166,-0.18884717637051038,57015.30798548549,17.15776935000701,0.09749799551094274,1.211,1
iPTF14bdn,-1.0374687197511552,-0.5107989340162196,0.654165632791916,56821.27634804805,18.60254471598333,0.11451579532154454,1.037,1
PS1-14xw,565.2569637381337,-115.99482345562696,19.644154164249763,0.0,20.101761872473503,0.2919366632230327,0.0,0
SN2014ap,99.94732825360502,-27.95860359140804,-10.138028482166305,0.0,19.888966212822265,2.7042968749952934,0.0,0
SN2014J,-5.9050461269092,0.7021110265297285,-0.9714360865162598,56687.22730990991,19.584441203104642,0.09721269721319103,1.068,1
iPTF13ebh,6.865179649284747,-3.393877172650753,-0.2753842846565548,0.0,19.37291468651454,0.09574085438228241,0.0,0
iPTF13dge,30.438131115502333,-10.11582208042822,2.4260922488595007,0.0,19.28210529295969,0.10778859568288013,0.0,0
SN2013gy,-13.010463368361293,0.5175596587309083,0.102579955561616,0.0,18.71470261238924,0.0911353167737925,0.0,0
SN2013gh,8.947526566639413,-4.247229010575355,-2.4844799802836657,0.0,18.530043807897204,0.0012068560171272225,0.0,0
SN2013ex,-5.982139896055875,-1.3958610670552911,-2.797560334878652,56529.02488948949,18.36177423405599,-0.014960901498834556,1.485,1
SN2013dy,8.14087938690172,-4.30201670385508,1.4177211220761974,0.0,17.61860059374905,0.10642465174285753,0.0,0
SN2013cs,16.197156955755236,-8.621730618755263,2.023037561906017,56440.13171081081,18.243938992322775,0.11071438138292322,1.605,1
SN2013cg,1.1779275120704031,-0.4030648749827739,-1.4851199629158303,0.0,18.594641198071947,2.8716269841266144,0.0,0
SN2013bs,1093.0164391632604,-246.90692252922267,74.14516881337603,0.0,19.52984840312254,1.2930038988373558,0.0,0
SN2013ag,46.5934096457061,-13.691398206725255,-29.379671577103192,0.0,19.75388278902976,5.599317436928747,0.0,0
SN2013aa,-5.571090317335786,0.4130599098546222,-0.5106210166719215,56342.378103203206,15.489557479201517,0.08775219442548288,1.141,1
SN2013E,-3.7020847402293997,1.4861495616565124,-1.5308927453988173,0.0,18.47655994847368,0.010621622613527393,0.0,0
LSQ12gdj,-8.32380793109044,1.5317684105971916,-0.17555073605433388,56249.176772672676,18.417821722519875,0.093954051139721,1.132,1
SN2012ht,-3.8825035869365356,-1.4440591262064035,-0.8495644607136137,56293.69373303303,16.24787135042073,0.07343927592612953,1.434,1
SN2012hr,-5.298974000122762,-0.12941824678799096,-1.6132285783912153,56288.539257357355,17.962152062230015,0.009183886266674435,1.18,1
SN2012fr,-4.409963504338053,-0.2786631838378705,-0.21804902948600957,56245.702244144144,15.795945807315597,0.08183496929672707,1.229,1
SN2012dn,-6.6778244144870635,-0.39389540568054776,-1.5403601503262596,56125.0261027027,15.848873806255776,-0.0038587101967941795,1.378,1
SN2012cg,-4.813875822855047,-0.02875448843333226,-0.7817704767170446,56081.27535455456,16.388949390158974,0.0752792752811633,1.166,1
SN2012Z,-14.500717374710016,2.264126330527278,-1.2817307405286038,0.0,17.028300347999032,2.999602780532466,0.0,0
SN2012V,-1.6297950671453232,-1.2361315641097042,-0.8359180771131485,55960.9165,18.52118968472956,0.08555885262036256,1.177,1
SN2011iv,-8.083625313468335,-3.1500201948023525,-1.2180139922017956,55903.89816786787,15.55822369095587,0.008119152949671138,2.225,1
SN2011ia,-6.30259381642917,0.11411892593577587,0.47298917235864923,55889.62142612613,18.127798757950007,0.0995349618530923,1.348,1
SN2011fe,-7.5156833380939085,-1.2393712484305361,-0.7580431385291531,55813.94701021021,12.94593608985414,0.08692328692332651,1.72,1
SN2011dn,66.33711893103498,-20.916865034013338,-3.397486879672961,0.0,19.299173133755694,-3.5157135580554666e-06,0.0,0
SN2011by,-6.032698980236758,-0.9733182464359146,-0.7668230101454107,55690.25922442442,16.48777950882598,0.05904728257902647,1.517,1
SN2011ao,-7.146837362655205,2.042226858038702,-0.13167677818629064,55640.686077977974,18.725617999100542,0.10492381599848777,0.898,1
SN2011aa,-5.8152917843904435,1.4648873331978578,0.559568719772901,55606.90945865866,15.769402576652507,0.6318761449207155,0.968,1
SN2011B,-6.727536391923236,-1.7718409275885598,-2.425236342334011,55582.07773393393,16.28392674251129,0.017645705408337875,1.673,1
SN2010ev,707.0480842009231,-155.23135861359253,25.8070703791216,0.0,18.379816062726327,0.20529687268705654,0.0,0
