SN2011by,    0.00280000,       1.14000,     0.0300000,      0.600000 , NGC3972,       0.00000, Sb,        3,       9.29400,     0.0280000,     -0.191000,       8.79500,      0.151000,    -0.0870000, N,     0.0313886,    0.00673186,      0.580142,     0.0241135,       15.8007,       16.5456,       14.0807,       12.5110,       12.9017,       12.9319,     0.0165000,    0.00430775,     0.0176400,     0.0168267,   0.000479698,    0.00303602,     0.0122581      4.75300      1.22200      24.2630      212.064      294.963      93.0990     0.334000    0.0830000      1.10100      5.67300      7.86700      2.60200
SN2005cf,    0.00650000,       1.05000,     0.0300000,      -1.00000 , MCG-01-39-03,      0.100000, S0,       -2,       9.35700,     0.0590000,     -0.200000,           NaN,           NaN,           NaN, N,           NaN,           NaN,      0.401891,     0.0226950,       16.9006,       18.3696,       15.0539,       13.4436,       13.5975,       13.5649,    0.00301838,    0.00385046,    0.00436608,    0.00611186,   0.000235081,    0.00216961,     0.0867742      1.57200     0.250000      8.97400      95.5900      154.433      50.9990     0.130000    0.0390000     0.564000      3.60400      5.74400      2.07600
SN2011ao,     0.0107000,       1.00000,       0.00000,      -2.00000 , IC2973,       0.00000, Scd,        6,       9.85400,      0.117000,    -0.0330000,       8.77400,    0.00100000,      -0.00000, N,      0.142452,    0.00673187,      0.475177,     0.0241135,       17.6634,       18.7068,       15.8957,       14.0604,       14.3375,       14.3582,    0.00765959,    0.00332928,     0.0140033,     0.0112405,   0.000788212,    0.00801897,     0.0177419     0.733000     0.191000      4.07800      52.3760      82.0660      25.6500    0.0770000    0.0280000     0.255000      2.11400      3.25000      1.23100
SN2012fr,    0.00550000,      0.850000,     0.0500000,      0.900000 , NGC1365,     0.0100000, Sb,        3,       10.3630,       1.27300,       1.27300,       8.60400,       0.00000,   -0.00100000, N,    0.00404996,    0.00673186,      0.499764,     0.0255319,       14.8782,       15.9672,       13.1197,       11.7340,       12.0130,       12.0048,   0.000225862,    0.00179990,   0.000931263,    0.00105762,   6.00815e-05,   0.000586987,     0.0180645          NaN          NaN          NaN      419.135      636.671      227.841          NaN          NaN          NaN      11.0230      16.7300      6.06300
SN2009ig,    0.00880000,      0.890000,       0.00000,       1.30000 , NGC1015,     0.0100000, Sa,        1,       10.4350,      0.175000,      0.175000,           NaN,           NaN,           NaN, N,     0.0556516,    0.00673186,      0.478487,     0.0255319,       16.6442,       17.4145,       14.8226,       13.3044,       13.5772,       13.4799,     0.0222230,    0.00466267,     0.0179996,     0.0200194,   0.000450611,    0.00229502,     0.0283871      1.93700     0.603000      11.0530      103.330      163.922      61.2480     0.139000    0.0490000     0.573000      3.85300      6.10500      2.41900
SN2013aa,    0.00400000,      0.800000,     0.0300000,      -1.30000 , NGC5643,       0.00000, Sc,        5,       10.4740,     0.0860000,     -0.129000,       8.46500,    0.00100000,   -0.00100000, Y,     0.0303634,    0.00708617,      0.527187,     0.0212766,       14.5371,       15.5008,       12.8656,       11.3718,       11.6942,       11.6239,    0.00773168,    0.00272560,    0.00968552,    0.00779963,   0.000246525,    0.00109768,      0.149355          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
SN2017cbv,    0.00400000,       1.06000,       0.00000,      -4.60000 , NGC5643,       0.00000, Sc,        5,       10.4740,     0.0860000,     -0.129000,       8.46500,    0.00100000,   -0.00100000, Y,           NaN,           NaN,      0.658156,     0.0241135,       14.6744,       16.2667,       13.1033,       11.5581,       11.7953,       11.6028,    0.00743214,   0.000499725,     0.0104508,    0.00991456,   0.000353336,    0.00143576,      0.145806      12.4960      1.77200      57.4460      545.689      811.557      311.310     0.709000     0.119000      2.24400      14.3120      21.2270      8.28900
SN2015F,    0.00490000,       1.26000,      0.100000,     -0.300000 , NGC2442,     0.0400000, Sbc,        4,       10.5590,     0.0820000,     -0.163000,           NaN,           NaN,           NaN, ?,     0.0406154,    0.00708617,      0.356028,     0.0226950,       16.4465,       17.5838,       14.9979,       13.3470,       13.4878,       13.2747,    0.00522900,   0.000499725,    0.00738001,    0.00733995,   0.000233173,    0.00209236,      0.179355      2.55700     0.519000      10.0210      108.082      176.765      68.0360     0.179000    0.0440000     0.564000      4.18000      6.80300      2.76000
SN2008Q,    0.00790000,       1.41000,     0.0500000,     -0.200000 , NGC524,       0.00000, S0,       -2,       10.5720,      0.380000,     -0.346000,           NaN,           NaN,           NaN, ?,      0.120581,    0.00708617,      0.650118,     0.0326241,       16.4472,       16.8413,       14.8303,       13.3346,       13.7908,       13.7476,     0.0215912,     0.0294504,     0.0279775,     0.0228550,   0.000717640,    0.00946140,     0.0729032      2.41600      1.07900      11.9140      105.872      131.537      47.0080     0.181000    0.0990000     0.653000      4.05100      5.15400      2.02500
SN2005df,    0.00440000,       1.12000,       0.00000,      0.700000 , NGC1559,       0.00000, Sc,        5,       10.6930,     0.0660000,     -0.827000,           NaN,           NaN,           NaN, ?,     0.0577020,    0.00744047,      0.321513,     0.0226950,       15.6309,       16.9542,       13.9066,           NaN,       12.3200,       12.3863,   0.000500202,    0.00416692,    0.00433556,           NaN,   0.000207424,   0.000844002,     0.0264516          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
SN2009Y,    0.00930000,       1.21000,       0.00000,     -0.700000 , NGC5728,      0.200000, Sa,        1,       10.7010,      0.311000,     -0.403000,       8.45800,       0.00000,   -0.00100000, Y,      0.218658,    0.00992063,      0.583924,     0.0226950,       17.6380,       18.8100,       15.9657,       14.3538,       14.3975,       14.2486,     0.0117957,     0.0115404,     0.0155516,     0.0175741,   0.000469208,     0.0125332,     0.0900000          NaN          NaN          NaN      40.4530      74.0830      27.4170          NaN          NaN          NaN      1.75800      3.16500      1.53700
SN2016coj,    0.00450000,       1.33000,     0.0300000,      -2.10000 , NGC4125,     0.0300000, E,       -5,       10.7940,      0.406000,    -0.0480000,           NaN,           NaN,           NaN, Y,     0.0703461,    0.00744048,      0.488416,     0.0226951,           NaN,           NaN,           NaN,           NaN,           NaN,           NaN,           NaN,           NaN,           NaN,           NaN,           NaN,           NaN,     0.0164516          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
SN2009an,    0.00920000,       1.44000,       0.00000,       2.70000 , NGC4332,     0.0800000, Sa,        1,       11.0010,    0.00100000,    0.00100000,       8.87200,     0.0180000,    -0.0240000, N,      0.109304,    0.00921202,      0.276596,     0.0226950,       17.8539,       18.9502,       16.2187,       14.5110,       14.5412,       14.4996,    0.00292333,    0.00819016,    0.00371234,    0.00498327,   0.000211716,    0.00196218,     0.0164516     0.647000     0.120000      3.26000      35.8080      65.9740      21.4910    0.0540000    0.0140000     0.202000      1.48100      2.57300      1.03700
ASASSN-14lp,    0.00510000,      0.800000,     0.0100000,      0.100000 , NGC4666,      0.320000, Sc,        5,       11.0720,           NaN,      -0.00000,       8.68200,     0.0330000,    -0.0370000, N,     0.0286547,    0.00673186,      0.372340,     0.0226951,       15.5520,       17.1018,       14.0088,       12.2431,       12.3525,       12.0055,    0.00731961,    0.00445461,    0.00864887,     0.0139062,   0.000458717,    0.00442028,     0.0219355      5.37900     0.799000      23.7540      277.516      522.366      229.206     0.375000    0.0710000      1.12000      7.71400      14.4280      6.80700


