      8.71700   0.00300000  -0.00100000          NaN          NaN
      8.58900     0.102000    -0.112000          NaN          NaN
      8.50100   0.00200000  -0.00100000     0.280378    0.0212766
      8.49000   0.00100000     -0.00000     0.770686    0.0226951
      8.54000   0.00100000  -0.00100000     0.276596    0.0212766
          NaN          NaN          NaN     0.908983    0.0255319
      8.82000    0.0230000  -0.00900000     0.605437    0.0212766
          NaN          NaN          NaN     0.861939    0.0212766
      8.29500    0.0300000   -0.0360000     0.553191    0.0226951
      8.43700    0.0230000   -0.0250000     0.255319    0.0241135
      8.79500     0.151000   -0.0870000     0.580142    0.0241135
          NaN          NaN          NaN     0.401891    0.0226950
      8.77400   0.00100000     -0.00000     0.475177    0.0241135
          NaN          NaN          NaN     0.127660    0.0226950
      8.60400      0.00000  -0.00100000     0.499764    0.0255319
          NaN          NaN          NaN     0.478487    0.0255319
      8.46500   0.00100000  -0.00100000     0.527187    0.0212766
          NaN          NaN          NaN     0.658156    0.0241135
          NaN          NaN          NaN     0.356028    0.0226950
          NaN          NaN          NaN     0.650118    0.0326241
          NaN          NaN          NaN     0.321513    0.0226950
      8.45800      0.00000  -0.00100000     0.583924    0.0226950
          NaN          NaN          NaN     0.488416    0.0226951
      8.87200    0.0180000   -0.0240000     0.276596    0.0226950
      8.68200    0.0330000   -0.0370000     0.372340    0.0226951
          NaN          NaN          NaN     0.243499    0.0226950
