wavelength,flux
1270.0,2.4573116930205807e-05
1280.0,4.5274326035363984e-05
1290.0,6.012213204098242e-05
1300.0,7.807508202748652e-05
1310.0,0.00012393900490825023
1320.0,0.00019055137130552242
1330.0,0.00022360283905432043
1340.0,0.00041604865139485084
1350.0,0.0005914937714941675
1360.0,0.0007309383200542969
1370.0,0.0007648810884721287
1380.0,0.0006639212776114826
1390.0,0.000499235711259547
1400.0,0.00037781085965576434
1410.0,0.00031882560466323334
1420.0,0.0002821287085549177
1430.0,0.00023415633910196343
1440.0,0.0002609267045645486
1450.0,0.0003608038158868212
1460.0,0.0004546766870620856
1470.0,0.0006988813613009609
1480.0,0.0009457108797302063
1490.0,0.001268885962649283
1500.0,0.0015140029289718478
1510.0,0.0017705635756330763
1520.0,0.0020388182627069148
1530.0,0.00223005965638181
1540.0,0.0022633748036188146
1550.0,0.001883926058592696
1560.0,0.0018693493197083318
1570.0,0.001655831611782967
1580.0,0.001578138663111201
1590.0,0.0015864338061108824
1600.0,0.0020408714345242435
1610.0,0.0023686934643477203
1620.0,0.0030404657360178964
1630.0,0.003160195904401464
1640.0,0.003360333598334116
1650.0,0.0034164817734219305
1660.0,0.003485124808212116
1670.0,0.0036015153154967503
1680.0,0.003406724299507312
1690.0,0.0030547436359384993
1700.0,0.0029162350916766477
1720.0,0.0019134899342916432
1730.0,0.00016860994363627075
1740.0,0.00037179241421783264
1750.0,0.0
1760.0,0.0024948744323966794
1770.0,0.0026864718202691215
1780.0,0.0011611612756481189
1790.0,0.00213136415937995
1800.0,0.0006046835909964039
1810.0,0.002001038312407983
1820.0,0.004090180856662527
1830.0,0.004646649453385099
1840.0,0.0038166884790852896
1850.0,0.0030640361408744493
1860.0,0.005419789611651899
1870.0,0.006387905854225719
1880.0,0.008213973644558113
1890.0,0.00904372887252506
1900.0,0.008630173959610115
1910.0,0.007454078474308084
1920.0,0.005131363915832482
1930.0,0.006147141192955273
1940.0,0.004638054996576354
1950.0,0.004702864688210857
1960.0,0.00412364484330712
1970.0,0.004865655968203962
1980.0,0.0057194654676679555
1990.0,0.005114214896934596
2000.0,0.006646056120030622
2010.0,0.007150727510611901
2020.0,0.006519923258127793
2030.0,0.005606595326534363
2040.0,0.005668448191957027
2050.0,0.004922860643444857
2060.0,0.004553287301730772
2070.0,0.004357995891296622
2080.0,0.004211867148052607
2090.0,0.003257694142555019
2100.0,0.002877059592482056
2110.0,0.002004193232755367
2120.0,0.0025598459826190463
2130.0,0.002284400329357242
2140.0,0.0029523229641427117
2150.0,0.002776617983661338
2160.0,0.002630566619708091
2170.0,0.002080962721912352
2180.0,0.0016021753389541718
2190.0,0.001637483549093134
2200.0,0.0012905287902669497
2210.0,0.0018810313251500386
2220.0,0.0016398528012769972
2230.0,0.0013215458658576997
2240.0,0.0013267283604357874
2250.0,0.0018867224014093918
2260.0,0.0020158997717278837
2270.0,0.0020429791916331606
2280.0,0.0024716476454921307
2290.0,0.002354332805224644
2300.0,0.003791296031319404
2310.0,0.0047969076227498365
2320.0,0.005400719507628092
2330.0,0.005787701925855111
2340.0,0.007835821212369719
2350.0,0.007929347189628257
2360.0,0.008772339503702346
2370.0,0.008086718592886857
2380.0,0.007860044723270293
2390.0,0.008460839755597915
2400.0,0.008796695040950235
2410.0,0.008840871961458972
2420.0,0.008317286459771351
2430.0,0.007438502022171519
2440.0,0.006810338693861328
2450.0,0.00600772144059104
2460.0,0.005797818427578804
2470.0,0.006113852466528815
2480.0,0.005773715329124296
2490.0,0.006869705814909414
2500.0,0.00822422720089346
2510.0,0.010824230077748066
2520.0,0.014853691243349522
2530.0,0.018973343957074444
2540.0,0.02015274861725293
2550.0,0.02142066013162267
2560.0,0.02327456556165085
2570.0,0.020099967618171743
2580.0,0.017019710263148448
2590.0,0.01249647274216044
2600.0,0.011456834874410385
2610.0,0.011398394915123114
2620.0,0.011482555247216555
2630.0,0.009794661230252718
2640.0,0.009186780419310748
2650.0,0.010877528866560553
2660.0,0.011377528507074604
2670.0,0.015041828433321512
2680.0,0.019937681052876566
2690.0,0.025993681490865776
2700.0,0.03217962269256969
2710.0,0.03507333103247039
2720.0,0.0380713754424091
2730.0,0.040662608598520916
2740.0,0.042698540043150796
2750.0,0.044774688756823756
2760.0,0.048618805970576606
2770.0,0.05593872996186015
2780.0,0.052196945750710634
2790.0,0.04582581767916326
2800.0,0.03818401410019567
2810.0,0.05506350524649863
2820.0,0.0576458710412931
2830.0,0.059580844013870086
2840.0,0.05811620012648118
2850.0,0.06143337220000511
2860.0,0.06855198774157176
2870.0,0.08115884006487263
2880.0,0.09114710399930753
2890.0,0.11723295674562555
2900.0,0.1448447869986452
2910.0,0.16882477570533827
2920.0,0.18562261330780483
2930.0,0.19835167015571467
2940.0,0.19996589155906405
2950.0,0.19781325334988606
2960.0,0.19092660784958704
2970.0,0.18064878183649866
2980.0,0.15858724499422164
2990.0,0.15633846372090857
3000.0,0.12537244184770047
3010.0,0.12512814437989728
3020.0,0.11975619531967141
3030.0,0.1319930883426437
3040.0,0.13022282919919095
3050.0,0.13126966502436418
3060.0,0.12037156122055329
3070.0,0.1160314068016035
3080.0,0.12280339150238509
3090.0,0.10604844434313018
3100.0,0.12471116605595252
3110.0,0.13167614800224736
3120.0,0.14470600708361359
3130.0,0.14910968286871706
3140.0,0.1685413686620813
3150.0,0.17225456240363946
3160.0,0.2096397374356743
3170.0,0.23756427137149994
3180.0,0.2513421509391498
3190.0,0.2561018401937369
3200.0,0.26707821113915586
3210.0,0.24796203867424485
3220.0,0.21971453763075538
3230.0,0.2008445242540832
3240.0,0.17911090436874405
3250.0,0.1653742001833578
3260.0,0.17728064807941601
3270.0,0.17816515984704745
3280.0,0.16659826776683517
3290.0,0.1781208903125921
3300.0,0.17522516372304897
3310.0,0.17705901692021409
3320.0,0.18020728451620066
3330.0,0.21120467741479845
3340.0,0.22447386607571
3350.0,0.21780811171375905
3360.0,0.21306653945134982
3370.0,0.22356536679342678
