wavelength,flux
1448.26,0.013714685187494385
1448.76,0.013282742817396028
1449.28,0.013452956907890392
1449.78,0.01426087145081164
1450.29,0.015498107216615844
1450.81,0.016838736024933795
1451.3,0.01802962078920173
1451.81,0.01871771772773561
1452.33,0.01854871657784545
1452.83,0.017857901799754758
1453.34,0.016842399805426553
1453.86,0.015667373235662387
1454.35,0.014649602555271181
1454.86,0.013796541766886324
1455.38,0.012963041529883992
1455.89,0.012113905839720074
1456.39,0.01115434221159842
1456.89,0.009954652271272872
1457.41,0.008828974927290206
1457.91,0.007976057029236604
1458.42,0.0075669917117825655
1458.94,0.007981357723044518
1459.43,0.009078237316474431
1459.93,0.010380004641309488
1460.45,0.011604315728800918
1460.95,0.012372253742111481
1461.46,0.012221713731251003
1461.98,0.011558484884577135
1462.47,0.010652219644749826
1462.98,0.009701757493143682
1463.5,0.009074761802217212
1464.0,0.00882307458383839
1464.51,0.00871565933476007
1465.03,0.00866277836144712
1465.53,0.008562203039712285
1466.03,0.00827107630144519
1466.54,0.007856383591747193
1467.06,0.007361506936807394
1467.56,0.0068030536763334796
1468.06,0.006188854283813919
1468.58,0.005558150318488333
1469.08,0.0049834404880035954
1469.59,0.004515015358536344
1470.11,0.004232139464059624
1470.61,0.0042612728004940825
1471.11,0.004439752914719614
1471.63,0.004637900188702373
1472.13,0.004754220734908695
1472.64,0.004553140838143022
1473.16,0.00401972944101084
1473.64,0.0035105068183213096
1474.15,0.0032062858757550966
1474.67,0.0033434413434019284
1475.18,0.004333950843431711
1475.68,0.00574492127220021
1476.19,0.007176779915288432
1476.7,0.00834807106487358
1477.2,0.008786132803890874
1477.71,0.008292275140290302
1478.23,0.0073336065698249
1478.73,0.006142985999942703
1479.23,0.004952736896800362
1479.75,0.004113894434609781
1480.25,0.0035890653945703154
1480.76,0.0033179708014880837
1481.28,0.0032997388971260167
1481.78,0.0035559764415052926
1482.28,0.004055894209600272
1482.8,0.004619836107685902
1483.3,0.0051245532203666915
1483.81,0.005421511379256431
1484.33,0.005243202403288715
1484.82,0.00475905116545594
1485.33,0.004188105278999926
1485.84,0.0036680103273336365
1486.36,0.0034301579561023822
1486.86,0.0036419417130720477
1487.37,0.004030599967635772
1487.88,0.004459537781614811
1488.37,0.004797760869232543
1488.88,0.004784037292126892
1489.4,0.004527675461715635
1489.9,0.004216466330354484
1490.4,0.003950412143496067
1490.92,0.003897877986640329
1491.42,0.0042079426307544115
1491.93,0.004634896184444981
1492.45,0.005042016357228757
1492.95,0.005308718652875769
1493.45,0.005201192504206649
1493.97,0.0047866475911152685
1494.47,0.004244482899700307
1494.98,0.003672780915720939
1495.5,0.003202937305546291
1496.0,0.002976648812589633
1496.5,0.0029012301687839142
1497.01,0.0029308322994028506
1497.53,0.0030364331179816005
1498.03,0.0031598931021464814
1498.54,0.0032857838539804137
1499.05,0.003423150629539382
1499.55,0.0035621036736691765
1500.06,0.003699476555134457
1500.58,0.003840151643486584
1501.08,0.003931963423174341
1501.58,0.003939563862785427
1502.1,0.0038329473554581453
1502.59,0.0035427606199074954
1503.1,0.0030935875999563308
1503.62,0.00259663675760176
1504.12,0.002119766079222604
1504.62,0.0017472769333659768
1505.14,0.0015919647843504713
1505.65,0.0015811051067719892
1506.15,0.001659549377788838
1506.66,0.0017903484215691298
1507.17,0.001903046723141408
1507.67,0.0019725737580873932
1508.18,0.0020470577091626025
1508.7,0.0021398348308154453
1509.2,0.002270822713782818
1509.71,0.002485566731366495
1510.22,0.002720447665060048
1510.72,0.0029200311275351144
1511.23,0.003046032157292049
1511.75,0.003025792699413661
1512.25,0.0028379958869919875
1512.75,0.002590345558244025
1513.27,0.002343338475090521
1513.77,0.0021576619984168114
1514.28,0.002122365113326768
1514.8,0.00221776069239971
1515.31,0.002411614103153457
1515.8,0.0026872600466657827
1516.31,0.0030461703173303117
1516.83,0.003467115807000049
1517.32,0.0038347954423677624
1517.83,0.004075234212117316
1518.34,0.004102970280003527
1518.84,0.0037482753983112786
1519.35,0.0031372640207363426
1519.87,0.0024505802039159696
1520.37,0.0018066751362034443
1520.88,0.0013828033236255271
1521.39,0.001333496599189042
1521.89,0.0014840824459016726
1522.4,0.001745098067413798
1522.92,0.0020391576605098814
1523.42,0.00221268383656999
1523.92,0.0022874703648668717
1524.44,0.0023475031237407415
1524.95,0.002424298051704036
1525.45,0.0025771576763038585
1525.96,0.002875683451999799
1526.48,0.0031944071919310676
1526.97,0.0034567742478937985
1527.48,0.0035989108216645817
1528.0,0.0034851639841556683
1528.5,0.0031511349894880894
1529.01,0.002744788921461086
1529.52,0.0023489125385212665
1530.02,0.0020729983820929757
1530.53,0.002057815492973611
1531.05,0.002190117193586225
1531.55,0.002392231052940583
1532.05,0.00261005747153422
1532.56,0.0027433380651082345
1533.06,0.0027667593037030876
1533.57,0.0027473036936368025
1534.09,0.0027085739509845196
1534.6,0.002679639945159246
1535.09,0.0027113239804143472
1535.6,0.0027620314343815657
1536.12,0.002798665292876066
1536.62,0.0028013766770921367
1537.13,0.0027304446508269005
1537.65,0.002575863515665195
1538.14,0.0023932168547726087
1538.65,0.002212464184956926
1539.17,0.0020647514517050866
1539.67,0.001997930076272104
1540.18,0.0019956098565130725
1540.69,0.002037072335733403
1541.19,0.002111280137684223
1541.7,0.002207712930384336
1542.22,0.002312858541794666
1542.72,0.0024052865747364667
1543.23,0.0024697480364336928
1543.74,0.0024848192124601936
1544.25,0.0024012408438992164
1544.75,0.0022647035609772814
1545.26,0.0021361339987652933
1545.78,0.0020542041888763013
1546.26,0.0020883970188718174
1546.77,0.0022966103512187274
1547.29,0.0025583382671203803
1547.79,0.0028029930504987624
1548.3,0.0029660717418215424
1548.82,0.00292345998092981
1549.31,0.0027079977707655718
1549.82,0.0024171026136552455
1550.34,0.00210380222258112
1550.84,0.0018389889285063332
1551.35,0.001703797124003043
1551.86,0.0016464423395495483
1552.36,0.0016397301657014418
1552.87,0.0016675258018944484
1553.39,0.001697616858930501
1553.89,0.0017211430958450997
1554.4,0.0017484665343633753
1554.9,0.0017787052409643758
1555.42,0.001810763709204685
1555.92,0.0018459364300512785
1556.43,0.0018784745434499272
1556.95,0.0019045755274895485
1557.44,0.0019216617475671528
1557.95,0.0019231098574533103
1558.47,0.0019105147985413642
1558.97,0.0018980888352961992
1559.48,0.0018942760028566536
1560.0,0.001908697471441249
1560.49,0.0019557848584579145
1560.99,0.0020260362102471376
1561.51,0.002109395712199684
1562.01,0.0021988518423676972
1562.52,0.002286828299079748
1563.03,0.0023653380368837793
1563.53,0.0024265470262316642
1564.04,0.0024637134091819116
1564.55,0.0024697311544862382
1565.07,0.0024345767869008816
1565.57,0.0023644321555959676
1566.07,0.0022689918783800177
1566.59,0.002156062539449902
1567.09,0.0020314188343947067
1567.6,0.0019027585634153832
1568.12,0.0017907782640687166
1568.61,0.001710499768819683
1569.12,0.0016765841146492405
1569.64,0.0017127118432959344
1570.14,0.001809716911936259
1570.65,0.0019453926861784203
1571.17,0.0021039297333674645
1571.66,0.002274431693228633
1572.17,0.002447075990602464
1572.69,0.002580887397693866
1573.19,0.0026480634710420634
1573.7,0.002619957214128301
1574.2,0.0024221269376895962
1574.72,0.002092245726250014
1575.21,0.0017484435616954483
1575.72,0.0014601152929491434
1576.24,0.0013258554492795727
1576.74,0.0014845046460904695
1577.24,0.001787192606771981
1577.76,0.0021228257681170488
1578.26,0.0024086515329932246
1578.77,0.0024790855277781083
1579.29,0.0023033954768024644
1579.78,0.0020649930721294055
1580.29,0.0018502046763677741
1580.81,0.0017654918231792358
1581.31,0.001999059250856178
1581.82,0.0023953075368140036
1582.34,0.00280521874022184
1582.83,0.0031329679669365486
1583.34,0.003212024264125416
1583.85,0.00295338318922252
1584.37,0.0025476453222773063
1584.87,0.0020902040031954526
1585.37,0.0016749464047443006
1585.89,0.0014656091284417818
1586.39,0.0014187438313802035
1586.9,0.0014589468547987676
1587.42,0.0015522672166406973
1587.92,0.0016411286469877428
1588.42,0.0016706664624498106
1588.94,0.0016965699329588911
1589.44,0.0017403123068651623
1589.94,0.0018183991868331144
1590.46,0.001982661261234179
1590.95,0.0021974719120667193
1591.46,0.0023934394283445523
1591.98,0.002530922256865413
1592.48,0.002549335599894459
1592.99,0.0023777460947917773
1593.5,0.00211800641864392
1594.01,0.0018385864811089154
1594.51,0.0015951314629682881
1595.02,0.001489684999343575
1595.54,0.0015301077529750805
1596.04,0.001636229307705361
1596.54,0.0017700076228226796
1597.06,0.001887557011929317
1597.56,0.001926920546017465
1598.07,0.001909298959706039
1598.59,0.0018498571671229063
1599.09,0.0017535723301690712
1599.59,0.0016283373005684214
1600.11,0.001484409222144718
1600.61,0.0013334714375534888
1601.12,0.0011875495676298372
1601.64,0.0010595921929534911
1602.13,0.0009644652089888294
1602.64,0.0009050809254482384
1603.15,0.0008817354206445099
1603.67,0.0008953362527698912
1604.17,0.0009536256853503047
1604.67,0.0010568868622578844
1605.18,0.0011681650449941376
1605.68,0.0012644571364357957
1606.19,0.0013199322854643236
1606.71,0.0012811747666846567
1607.21,0.0011788363834927022
1607.71,0.0010646151615269794
1608.23,0.0009688763709502976
1608.73,0.0009436925322697123
1609.24,0.0010429890670770022
1609.76,0.0011828677077865626
1610.26,0.0013146165708211657
1610.76,0.0013962423752357552
1611.28,0.0013335554965768796
1611.78,0.001151734897334759
1612.29,0.0009520342598540262
1612.8,0.000788320950957778
1613.31,0.0007338048941503163
1613.81,0.0008879222764426374
1614.32,0.0011541319717009025
1614.84,0.0014612948363442963
1615.34,0.0017584435487055798
1615.85,0.0019591046254848776
1616.36,0.002032323457103746
1616.86,0.002035055873430801
1617.37,0.0019891636606189497
1617.89,0.0019158392651525647
1618.39,0.001848173581270665
1618.88,0.0017878107299147993
1619.4,0.001736145595271699
1619.9,0.0017002061905546763
1620.41,0.0016963597297809537
1620.93,0.0017299947749142939
1621.43,0.001766066339397714
1621.93,0.001786417389848089
1622.44,0.0017664562119961487
1622.95,0.0016443625552928004
1623.46,0.0014750686770918253
1623.97,0.0013315796762213708
1624.48,0.001257667167048912
1624.98,0.0013369429955220535
1625.49,0.0016440507493005422
1626.01,0.0020136248404758225
1626.51,0.002347304552338057
1627.02,0.0025552772283711535
1627.53,0.002452388556882909
1628.03,0.0020899065817853108
1628.54,0.0016429038743094317
1629.06,0.0012066452335051964
1629.56,0.0009093347606844637
1630.06,0.000913867388823189
1630.58,0.0010859914190765266
1631.08,0.0013353190470569386
1631.59,0.0016007151239538406
1632.11,0.0017792730317095675
1632.61,0.0018317707571509864
1633.11,0.001806014097485905
1633.61,0.001715081017696837
1634.13,0.0015659204605107172
1634.63,0.0013651176167942505
1635.14,0.0011511477175435063
1635.65,0.0009605821429044797
1636.15,0.0008258344067377701
1636.66,0.0008007012421403407
1637.18,0.0009103667725293799
1637.68,0.0010884216054664626
1638.19,0.0012982055332187484
1638.7,0.0015031863451264915
1639.2,0.0016452086683170174
1639.71,0.0017287390841841885
1640.23,0.0017693343866126946
1640.73,0.0017708409944257484
1641.23,0.0017376778781736572
1641.75,0.0016770829518377348
1642.25,0.0016028987684230324
1642.76,0.001527505761830062
1643.27,0.0014644469672319904
1643.79,0.001436129371406216
1644.28,0.0014403262309052142
1644.79,0.001462268830318882
1645.31,0.0014940435237373309
1645.81,0.001527030387162607
1646.32,0.0015512878126056873
1646.84,0.0015634245732495462
1647.33,0.0015602654558981674
1647.83,0.001537964433040586
1648.35,0.0014868286966991946
1648.85,0.0014116310206530305
1649.36,0.0013348361875115736
1649.87,0.0012714802264251215
1650.37,0.0012354907883327972
1650.88,0.0012411358807987354
1651.4,0.0012961645731419215
1651.9,0.001404735454978906
1652.41,0.0015705425084341959
1652.91,0.0018148405424710406
1653.43,0.0021353002607719263
1653.93,0.0024537942338963776
1654.44,0.0027233165860589027
1654.96,0.0028920306602314566
1655.45,0.002864048747604551
1655.96,0.002695774257017669
1656.48,0.0024697000165626332
1656.98,0.0022372542895059628
1657.49,0.0020701023354655233
1658.01,0.002035878071987756
1658.5,0.002086407702694405
1659.01,0.002198703668624914
1659.53,0.002358435133920629
1660.03,0.0025493177716411097
1660.54,0.0027445200906470795
1661.05,0.002912911207547434
1661.55,0.003028319014773073
1662.06,0.0030538554785480092
1662.56,0.002944635234154741
1663.08,0.0027525258749773527
1663.58,0.0025162234452200147
1664.08,0.0022668723317101716
1664.6,0.002058883090480593
1665.1,0.001910131892018479
1665.61,0.0017864195641464917
1666.13,0.0016771490345515669
1666.62,0.001568371725670773
1667.13,0.0014304823415932629
1667.65,0.0012925056233259959
1668.15,0.0011810025517449976
1668.66,0.0011121151311221558
1669.18,0.0011116051258768982
1669.67,0.0011932855170075
1670.18,0.0013261621626484321
1670.7,0.0014918240755232843
1671.2,0.001674353539382069
1671.71,0.0018563984247562193
1672.21,0.002020011041715083
1672.73,0.0021488296190977792
1673.23,0.002228756431801312
1673.74,0.002235679591463985
1674.26,0.002148492016496048
1674.76,0.0020170620334542893
1675.26,0.001873896668973932
1675.78,0.001749162231758418
1676.28,0.0017001986690026146
1676.79,0.00172189492308052
1677.3,0.0017702480979140342
1677.79,0.0018241121627981473
1678.3,0.0018547996993339207
1678.82,0.0018220070702271688
1679.32,0.0017586205057272773
1679.83,0.0016877561359713376
1680.35,0.0016244341638766248
1680.84,0.0015967459023385356
1681.35,0.0016139564420993386
1681.86,0.0016520869536466823
1682.37,0.0017016019014050629
1682.88,0.0017505170970315885
1683.38,0.0017744648156913603
1683.9,0.001792804240727057
1684.4,0.0018244642727990295
1684.91,0.0018801476706734577
1685.43,0.0019833452457002207
1685.93,0.002146477251046022
1686.43,0.0023219589178701517
1686.95,0.0024822980717569207
1687.45,0.002601420626138125
1687.96,0.0026344003495693143
1688.48,0.002592888818229671
1688.97,0.0025058078230818484
1689.48,0.0023898930904748283
1690.0,0.0022632906119702673
1690.5,0.00214587175594811
1691.01,0.002051935955158582
1691.51,0.001994880837556193
1692.01,0.001988941639916667
1692.52,0.002059113810375609
1693.03,0.002199128516055212
1693.55,0.00237699417203212
1694.05,0.0025716719780298734
1694.55,0.0027606700528362287
1695.07,0.0029175803298882572
1695.57,0.0030344344813284293
1696.08,0.0031040923856149676
1696.6,0.0031179472379081682
1697.1,0.0030585229618172905
1697.6,0.002926493549059079
1698.12,0.0027612895813484166
1698.62,0.0025876702286400126
1699.13,0.002433843311402092
1699.65,0.002346149031123523
1700.14,0.002307240544087583
1700.65,0.0022938170637909943
1701.16,0.0022937651209121133
1701.67,0.002281872202227044
1702.18,0.002236890160106102
1702.69,0.00219624876268296
1703.2,0.0021767752512271707
1703.7,0.0021957081331087725
1704.21,0.002305023694403913
1704.73,0.0024672164911346333
1705.23,0.0026105222045094793
1705.73,0.0026944450312664627
1706.24,0.0026528177543987223
1706.74,0.0024023862532306186
1707.25,0.0020718709629528333
1707.77,0.0017510547048470823
1708.27,0.0015042788042487105
1708.77,0.0014786069075403314
1709.29,0.0016930527382839234
1709.79,0.002005704695417848
1710.3,0.0023654904247713913
1710.81,0.002708747763991444
1711.31,0.0029085545081118233
1711.82,0.003022548068562547
1712.33,0.003080776193472455
1712.85,0.0030956651124273028
1713.35,0.0030968390060068214
1713.86,0.003108255119392692
1714.37,0.0031015354012010536
1714.87,0.0030741977035676415
1715.38,0.0030243876712927552
1715.9,0.002943211929830525
1716.4,0.0028396156415152482
1716.9,0.0027245151885401326
1717.42,0.002606187747801453
1717.92,0.0024890211820734393
1718.43,0.002373373340392475
1718.95,0.002292241286172542
1719.45,0.002264015982155164
1719.95,0.0023024512900923374
1720.45,0.002454995849852769
1720.96,0.0027000208184372867
1721.47,0.002977464607469775
1721.98,0.0032547278946123796
1722.49,0.0034927705439561003
1722.99,0.0036316543914612976
1723.5,0.0036956099247651957
1724.02,0.003691943945776643
1724.52,0.0036259253328941882
1725.03,0.0035022818557638555
1725.54,0.0033340403915967645
1726.04,0.0031483249911397186
1726.55,0.002966805047197606
1727.07,0.0028112148707871024
1727.57,0.002704025204374292
1728.07,0.0026592114888487335
1728.59,0.002687196005418542
1729.09,0.0027939268571048202
1729.6,0.003004011523210626
1730.11,0.0033369837883819873
1730.62,0.0036873212153121426
1731.12,0.004001923760549361
1731.63,0.0042318335913637956
1732.15,0.004246749984234155
1732.65,0.004096302370500711
1733.16,0.003873014173311371
1733.67,0.0036224827750977735
1734.17,0.003410442748868108
1734.68,0.0033368295982579713
1735.19,0.003325162080980182
1735.69,0.003352015431650326
1736.2,0.0034006576395060016
1736.71,0.0034259247353065595
1737.21,0.0034208245121834504
1737.72,0.0034192070809515207
1738.24,0.0034281160912878876
1738.74,0.0034581123508246213
1739.24,0.0035404832432752906
1739.75,0.0036433354761774396
1740.26,0.0037469661805525647
1740.77,0.0038395921690489894
1741.28,0.003886914026424432
1741.79,0.0038712919779437262
1742.29,0.003860804365088714
1742.8,0.0038810756942753762
1743.32,0.003957710889966596
1743.82,0.004183500297417158
1744.33,0.004487477254466329
1744.84,0.004792420658772278
1745.34,0.005054545963033922
1745.85,0.0052032365467043875
1746.37,0.005149900839975557
1746.87,0.00501303811884047
1747.38,0.0048389180888742675
1747.89,0.00466913710448282
1748.39,0.004587891208301785
1748.9,0.004602416893609203
1749.4,0.004678700677944872
