wavelength,flux
1705.0,0.06714999999999999
1710.0,0.041699999999999994
1715.0,0.04905
1720.0,0.04204999999999999
1725.0,0.04539999999999998
1730.0,0.04599999999999999
1735.0,0.05639999999999999
1740.0,0.043149999999999994
1745.0,0.05649999999999999
1750.0,0.05924999999999999
1755.0,0.05149999999999999
1760.0,0.0665
1765.0,0.06384999999999999
1770.0,0.08239999999999999
1775.0,0.10154999999999997
1780.0,0.10974999999999999
1785.0,0.10049999999999999
1790.0,0.10774999999999998
1795.0,0.12929999999999997
1800.0,0.10745
1805.0,0.12319999999999998
1810.0,0.14384999999999998
1815.0,0.19019999999999995
1820.0,0.2177999999999999
1825.0,0.21899999999999992
1830.0,0.24189999999999998
1835.0,0.25664999999999993
1840.0,0.27759999999999996
1845.0,0.2954499999999999
1850.0,0.3160499999999999
1855.0,0.32899999999999996
1860.0,0.3383999999999999
1865.0,0.35614999999999997
1870.0,0.4432499999999998
1875.0,0.5064499999999997
1880.0,0.5702999999999999
1885.0,0.6122499999999998
1890.0,0.6600499999999999
1895.0,0.6488999999999998
1900.0,0.6013499999999998
1905.0,0.5549499999999998
1910.0,0.5080499999999999
1915.0,0.4738999999999999
1920.0,0.4355499999999998
1925.0,0.41144999999999987
1930.0,0.4023499999999998
1935.0,0.3546499999999999
1940.0,0.2974999999999999
1945.0,0.2699
1950.0,0.24324999999999994
1955.0,0.25025
1960.0,0.2570999999999999
1965.0,0.23944999999999994
1970.0,0.25954999999999995
1975.0,0.3363999999999999
1980.0,0.3597499999999999
1985.0,0.3867499999999999
1990.0,0.4104999999999999
1995.0,0.4389499999999999
2000.0,0.46314999999999995
2005.0,0.4726999999999999
2010.0,0.46774999999999983
2015.0,0.4769499999999999
2020.0,0.5222999999999999
2025.0,0.5342999999999999
2030.0,0.5034499999999998
2035.0,0.4786499999999998
2040.0,0.45494999999999997
2045.0,0.4367999999999998
2050.0,0.4249999999999998
2055.0,0.4235999999999998
2060.0,0.4113999999999999
2065.0,0.38149999999999984
2070.0,0.3561499999999998
2075.0,0.3425999999999999
2080.0,0.3374999999999999
2085.0,0.3394999999999999
2090.0,0.33209999999999995
2095.0,0.31804999999999994
2100.0,0.3037999999999999
2105.0,0.2855
2110.0,0.27459999999999996
2115.0,0.2855499999999999
2120.0,0.2963499999999999
2125.0,0.2935
2130.0,0.2983499999999999
2135.0,0.3017499999999999
2140.0,0.30199999999999994
2145.0,0.3112999999999999
2150.0,0.30599999999999994
2155.0,0.28679999999999994
2160.0,0.2704499999999999
2165.0,0.26064999999999994
2170.0,0.2559499999999999
2175.0,0.24944999999999995
2180.0,0.23404999999999992
2185.0,0.21704999999999994
2190.0,0.20994999999999991
2195.0,0.20434999999999992
2200.0,0.20624999999999993
2205.0,0.20344999999999996
2210.0,0.18609999999999996
2215.0,0.17469999999999994
2220.0,0.16999999999999996
2225.0,0.16339999999999993
2230.0,0.15619999999999995
2235.0,0.15124999999999994
2240.0,0.15179999999999996
2245.0,0.14314999999999994
2250.0,0.12965
2255.0,0.12124999999999998
2260.0,0.12474999999999997
2265.0,0.14064999999999997
2270.0,0.14699999999999996
2275.0,0.15414999999999998
2280.0,0.16614999999999996
2285.0,0.18889999999999998
2290.0,0.21714999999999995
2295.0,0.24219999999999997
2300.0,0.26874999999999993
2305.0,0.29074999999999995
2310.0,0.32209999999999994
2315.0,0.37274999999999997
2320.0,0.41679999999999995
2325.0,0.44049999999999995
2330.0,0.46339999999999987
2335.0,0.4954999999999999
2340.0,0.5248999999999999
2345.0,0.5598999999999998
2350.0,0.5903499999999998
2355.0,0.5894499999999999
2360.0,0.57005
2365.0,0.5646999999999999
2370.0,0.574
2375.0,0.5752999999999999
2380.0,0.5669499999999998
2385.0,0.5632499999999998
2390.0,0.5781499999999998
2395.0,0.5795499999999999
2400.0,0.5579499999999998
2405.0,0.5292999999999999
2410.0,0.5107999999999999
2415.0,0.50135
2420.0,0.4944499999999999
2425.0,0.48594999999999977
2430.0,0.4542999999999998
2435.0,0.39979999999999993
2440.0,0.3525999999999999
2445.0,0.3265999999999999
2450.0,0.3179499999999999
2455.0,0.30989999999999995
2460.0,0.28559999999999997
2465.0,0.26454999999999995
2470.0,0.24979999999999997
2475.0,0.23419999999999996
2480.0,0.22334999999999997
2485.0,0.2135
2490.0,0.22805
2495.0,0.26449999999999996
2500.0,0.30624999999999997
2505.0,0.3728499999999999
2510.0,0.4283999999999999
2515.0,0.5005
2520.0,0.5699499999999998
2525.0,0.6214999999999998
2530.0,0.6482499999999998
2535.0,0.6596499999999998
2540.0,0.67075
2545.0,0.6663499999999998
2550.0,0.6575499999999999
2555.0,0.6720999999999998
2560.0,0.6899499999999998
2565.0,0.6707999999999998
2570.0,0.6437999999999999
2575.0,0.6330999999999999
2580.0,0.6125999999999999
2585.0,0.5878499999999998
2590.0,0.5833999999999999
2595.0,0.5783499999999999
2600.0,0.5460999999999998
2605.0,0.5001999999999999
2610.0,0.4581499999999999
2615.0,0.4180499999999999
2620.0,0.3837499999999999
2625.0,0.3600499999999999
2630.0,0.3294
2635.0,0.29445
2640.0,0.27545
2645.0,0.28605
2650.0,0.31934999999999997
2655.0,0.3589
2660.0,0.41029999999999994
2665.0,0.47639999999999993
2670.0,0.5390499999999998
2675.0,0.6024499999999998
2680.0,0.6611499999999999
2685.0,0.7228999999999999
2690.0,0.7298
2695.0,0.7755999999999998
2700.0,0.79525
2705.0,0.8133499999999998
2710.0,0.8265499999999999
2715.0,0.8364999999999999
2720.0,0.85245
2725.0,0.8648499999999999
2730.0,0.8641000000000001
