wavelength,flux
1448.26,0.11826187132265148
1448.76,0.11445485941031236
1449.28,0.11583507998656659
1449.78,0.12270366581314422
1450.29,0.1332520249990966
1450.81,0.14467148429893614
1451.3,0.15479525355051968
1451.81,0.16058684467435919
1452.33,0.1590199484871074
1452.83,0.15298959381038324
1453.34,0.14418623310889755
1453.86,0.13402908840036776
1454.35,0.12523646178023334
1454.86,0.11785984250419844
1455.38,0.11065930193010591
1455.89,0.10333737640129487
1456.39,0.09508591828081257
1456.89,0.0848004336695764
1457.41,0.07515723061805633
1457.91,0.06785001835388339
1458.42,0.06432517668825835
1458.94,0.06779931972313662
1459.43,0.07706540736830955
1459.93,0.08805614499471824
1460.45,0.09837273954209841
1460.95,0.1048116834423923
1461.46,0.10346500638992055
1461.98,0.0977817245216431
1462.47,0.09005557007731162
1462.98,0.08196408763120136
1463.5,0.07661363912386414
1464.0,0.07443905063823321
1464.51,0.0734828636203379
1465.03,0.07298656976343015
1465.53,0.07209140002084707
1466.03,0.0695941696918833
1466.54,0.06606042857541561
1467.06,0.06185692600220909
1467.56,0.05712688568683437
1468.06,0.05193530078547022
1468.58,0.046610932805781914
1469.08,0.04176417889807561
1469.59,0.0378134346547563
1470.11,0.03542045937219968
1470.61,0.03564124305275394
1471.11,0.03711011340862708
1471.63,0.038740425301052726
1472.13,0.03968658294282336
1472.64,0.0379832360785944
1473.16,0.03351115439506231
1473.64,0.029248049390523313
1474.15,0.026696107609241914
1474.67,0.02781975091718529
1475.18,0.03603823825355279
1475.68,0.047740819254065085
1476.19,0.05960145320629671
1476.7,0.06928440530766147
1477.2,0.07287446549431253
1477.71,0.06873451011736394
1478.23,0.060748779953744905
1478.73,0.05085454688860635
1479.23,0.04097571102783502
1479.75,0.03401381188515491
1480.25,0.02965622485734831
1480.76,0.027399000176836687
1481.28,0.027231073357342723
1481.78,0.029327727521314798
1482.28,0.03343036881158369
1482.8,0.03805451807428703
1483.3,0.042186356122151394
1483.81,0.04460341692691969
1484.33,0.04310935924612134
1484.82,0.039105594306544554
1485.33,0.03439298533350506
1485.84,0.030103519689541818
1486.36,0.028133954035729842
1486.86,0.029853181309443592
1487.37,0.033018989732675925
1487.88,0.03651077544135883
1488.37,0.03925706885108184
1488.88,0.03912120831178174
1489.4,0.037002151823375316
1489.9,0.0344385768848547
1490.4,0.03224664023741172
1490.92,0.031798475814462865
1491.42,0.03430794234935945
1491.93,0.03776654515692823
1492.45,0.041059107705026424
1492.95,0.043205963547370205
1493.45,0.04230641936481443
1493.97,0.038911215066947495
1494.47,0.034484089271593125
1494.98,0.029821898373023143
1495.5,0.025991460488921415
1496.0,0.024141396341431035
1496.5,0.023516361809549163
1497.01,0.02374257291719146
1497.53,0.024583580234316872
1498.03,0.025568712269209305
1498.54,0.02657212241448751
1499.05,0.02766716694275678
1499.55,0.02877412703588706
1500.06,0.029866791505745376
1500.58,0.030984547624867846
1501.08,0.03170772215113832
1501.58,0.03175141742125849
1502.1,0.030874379951128277
1502.59,0.028521516604129035
1503.1,0.02489142058390892
1503.62,0.020880976032615718
1504.12,0.01703687756000593
1504.62,0.014035467359493743
1505.14,0.012780646466910447
1505.65,0.01268643773712166
1506.15,0.013308650901240143
1506.66,0.014349680392440039
1507.17,0.015244583280596276
1507.67,0.015793052198749612
1508.18,0.01638044004550554
1508.7,0.017113323889279837
1509.2,0.01815122215144923
1509.71,0.019856951402676338
1510.22,0.02172164124047781
1510.72,0.023302904557980994
1511.23,0.024295362541097446
1511.75,0.02412072963475474
1512.25,0.022611800088678406
1512.75,0.020627840651917532
1513.27,0.018650707054646505
1513.77,0.017163962811932575
1514.28,0.016874239160254354
1514.8,0.017623202943685596
1515.31,0.01915354385037495
1515.8,0.02133200733165052
1516.31,0.024168436217152547
1516.83,0.027493574589502127
1517.32,0.03039397335961334
1517.83,0.032282857408692855
1518.34,0.032485718621981303
1518.84,0.029662332990996527
1519.35,0.024814228069725323
1519.87,0.019372725425910526
1520.37,0.014275236618483159
1520.88,0.010920469758044766
1521.39,0.010525701856623755
1521.89,0.01170847530441647
1522.4,0.013760732783753763
1522.92,0.01607119660342421
1523.42,0.01743017137250671
1523.92,0.01801039406825087
1524.44,0.01847359313130107
1524.95,0.019068368265466477
1525.45,0.020260756769854123
1525.96,0.022596398289688662
1526.48,0.025088126890480254
1526.97,0.027135763901822145
1527.48,0.02823756927354691
1528.0,0.027331345459300573
1528.5,0.0246999080337467
1529.01,0.021504244659042614
1529.52,0.018393719983271196
1530.02,0.016225343256218695
1530.53,0.01609866922435958
1531.05,0.017125211928680998
1531.55,0.01869672771664948
1532.05,0.02038951874371166
1532.56,0.021420376936971262
1533.06,0.02159308439622946
1533.57,0.021430976821072496
1534.09,0.021118569102829447
1534.6,0.020883022936878104
1535.09,0.021120301321281874
1535.6,0.021505103793883287
1536.12,0.021779838812522816
1536.62,0.02179087033432762
1537.13,0.02122913768763727
1537.65,0.02001770592811791
