SNname,t0_w2,t0_m2,t0_w1,t0_u,t0_b,t0_v,m0_w2,m0_m2,m0_w1,m0_u,m0_b,m0_v
SN2020pst,0,0,59062.52557556139,59068.26870517733,59071.26234970664,59065.05075616466,0,0,18.739603403017178,17.11218411328336,17.42678234623491,17.42788146763457
SN2021mim,0,0,0.0,59360.26495463874,59363.301935280426,59362.64080758826,0,0,0.0,18.245462293307316,17.905214116201996,17.732966260001984
SN2020tkp,0,0,0.0,59115.95571860448,59116.54250939341,59123.88759659377,0,0,0.0,17.192168466953568,17.6757094186905,17.51286562528284
SN2022idx,59703.50906091377,59703.76970765198,59712.43075942514,59709.22933084224,59712.0280603309,59709.26018656716,17.02716770260923,17.816229426473438,15.397971274465347,13.755740261362533,14.266920964664628,14.29859477450048
SN2020aczg,0,59220.91656721031,59215.29471399796,59210.36625321032,59216.479050066104,59219.03675104754,0,19.378417917214684,16.959329909756228,15.281703920726766,15.982067104671714,16.134656136878704
SN2020szr,0,0,59112.32256458442,59117.008295687636,59118.26522202383,59113.14147438762,0,0,18.512693653988492,17.136765068617596,17.135151418860584,16.836958057218677
SN2020jgl,58990.07585492781,58991.98393982863,58989.856392841066,58989.34025120962,58991.91466904661,58994.71533611081,16.779885333089503,17.95954249882906,15.187057772495121,13.731866495780194,13.872038989463627,13.593340711611262
SN2021ghc,0,0,59306.08910165257,59303.49079389143,59306.884084385776,59308.614080553125,0,0,18.758106094938633,16.980829528131164,17.35732261005255,17.400609465108648
