# SN2020hvf magnitudes from Swift UVOT                                                        
# generated Mon Nov 22 13:52:27 CST 2021 using version 2021.4                                         
# of Peter Brown's photometry pipeline                                                      
# and version Swift_Rel5.5(Bld44)_15Jul2021 of HEASOFT                                                      
#                                                                                         
# Data comes from the Swift Data Center                                                   
# A 5 arcsec aperture is used to measure the counts for the coincidence loss correction,  
# a 3 or 5 arcsec source aperture (based on the error) was used for the aperture photometry 
# subtracting off the galaxy count rate in a template image  (if available),              
# and applying an aperture correction as appropriate (based on average psf in Swift CALDB)
# and zeropoints from Breeveld et al. (2011) which update Poole et al. (2008)             
# including a time-dependent sensitivity loss                                             
# to put the magnitudes on the UVOT photometric system described in that paper.   
# The sensitivity correction has been updated based on the 2015 redetermination.        
#
#  Brown, P. J., Holland, S. T., Immler, S., et al. 2009, ApJ, 137, 4517
#  Brown, P. J., et al. 2014, Ap&SS, submitted
#  Breeveld, A. A., Landsman, W., Holland, S. T., et al. 2011, in AIP Conf. Proc. 1358,   
#     Gamma-Ray Bursts 2010, ed. J. E. McEnergy, J. L. Racusin, & N. Gehrels                 
#     (Melville, NY: AIP), 373; arXiv:1102.4717                                              
#  Poole, T. S., Breeveld, A. A., Page, M. J., et al. 2008, MNRAS, 383, 627
#                                                                                         
#                                                                                           
#                                                                                           
# The underlying galaxy had the following count rates                                       
# in a 5 arcsec aperture at the source position  
# (missing filters list 0 but used a background region similar to the SN ):                 
# Galaxy count rates in 5" aperture
# V              0.661018       0.234627
# B               1.05189       0.384900
# U              0.636982       0.231073
# UVW1          0.0325616      0.0527824
# UVM2         0.00743087      0.0104015
# UVW2          0.0128861      0.0203282
#                                                                                           
# There are no known issues with this photometry.                                           
#                                                                                           
# Filter MJD[days] Mag MagErr 3SigMagLim 0.98SatLim[mag] Rate[c/s] RateErr[c/s] Ap[arcsec] Frametime[s] Exp[s] Telapse[s]
#                                                                                           
UVM2     59010.4995  17.357   0.083  20.252   9.534   0.627   0.048  3.0  0.0036     786.66   46933.12
UVM2     59013.7479  17.389   0.092  20.127   9.534   0.609   0.051  3.0  0.0036     577.43     606.77
UVM2     59016.8065  17.539   0.094  20.166   9.534   0.530   0.046  3.0  0.0036     621.95     653.77
UVM2     59024.3506  17.863   0.089  20.255  10.555   0.393   0.032  3.0  0.0110    1128.94    6380.58
UVM2     59031.1185  18.076   0.103  20.174  10.555   0.323   0.031  3.0  0.0110     918.00    6046.02
UVM2     59038.1850  18.211   0.105  20.204  10.555   0.286   0.028  3.0  0.0110    1031.54   23352.04
UVM2     59045.5158  18.307   0.121  20.081  10.555   0.261   0.029  3.0  0.0110     767.72   74187.44
#                                                                                           
UVW1     58961.1283  17.467   0.110  19.256  11.147   0.975   0.099  3.0  0.0110     271.41    4688.90
UVW1     58962.1902  16.516   0.075  19.289  11.147   2.341   0.162  3.0  0.0110     314.50    4890.32
UVW1     58963.4884  14.950   0.059  19.221  11.146   9.912   0.540  3.0  0.0110     245.83     249.77
UVW1     58964.6835  14.146   0.049  19.155  11.146  20.785   0.947  5.0  0.0110     236.97     240.76
UVW1     58965.4138  13.794   0.046  19.124  11.146  28.732   1.207  5.0  0.0110     242.86     246.76
UVW1     58968.7989  12.978   0.041  18.879  11.146  60.923   2.326  5.0  0.0110     195.70   21903.46
UVW1     58974.5132  12.800   0.041  18.737  11.146  71.749   2.721  5.0  0.0110     141.50     143.76
UVW1     58975.4983  12.836   0.041  18.764  11.147  69.467   2.634  5.0  0.0110     172.80     175.57
UVW1     58976.7141  12.960   0.042  19.040  10.125  61.924   2.392  5.0  0.0036     133.00     139.77
UVW1     58980.1583  13.296   0.043  19.249  10.124  45.471   1.785  5.0  0.0036     220.62     231.78
UVW1     58982.0799  13.490   0.044  19.157  10.124  38.017   1.555  5.0  0.0036     159.68     167.77
UVW1     58990.3124  14.470   0.054  19.352  10.125  15.413   0.760  5.0  0.0036     275.61   11704.15
UVW1     58992.7137  14.666   0.059  19.230  10.125  12.871   0.698  3.0  0.0036     186.35     195.78
UVW1     59001.5345  15.625   0.198  16.848  10.124   5.323   0.973  5.0  0.0036       8.27       8.68
UVW1     59001.6004  15.581   0.071  19.167  10.125   5.541   0.361  3.0  0.0036     147.34     154.78
UVW1     59004.2220  15.945   0.066  19.384  10.125   3.964   0.241  3.0  0.0036     298.42    5834.79
UVW1     59007.4832  16.305   0.072  19.380  10.125   2.846   0.188  3.0  0.0036     285.08    7059.55
UVW1     59010.5027  16.413   0.073  19.377  10.125   2.576   0.174  3.0  0.0036     294.61   46730.09
UVW1     59013.7528  16.515   0.081  19.302  10.125   2.344   0.176  3.0  0.0036     216.75     227.76
UVW1     59016.8118  16.569   0.081  19.326  10.125   2.231   0.167  3.0  0.0036     232.85     244.77
UVW1     59024.3393  16.832   0.077  19.360  11.147   1.750   0.123  3.0  0.0110     431.59    6414.73
UVW1     59031.1090  17.027   0.086  19.298  11.148   1.463   0.116  3.0  0.0110     348.94    5737.50
UVW1     59038.1744  17.099   0.086  19.291  11.149   1.369   0.108  3.0  0.0110     407.98   23314.77
UVW1     59045.5098  17.138   0.095  19.190  11.150   1.321   0.116  3.0  0.0110     307.37   74340.84
#                                                                                           
U        58961.1035  16.813   0.102  18.754  12.062   4.080   0.385  3.0  0.0110      78.51      79.77
U        58962.1917  15.493   0.062  18.840  12.065  13.769   0.784  3.0  0.0110     157.04    4810.23
U        58963.4904  14.393   0.048  18.588  12.060  37.912   1.667  5.0  0.0110      81.46      82.77
U        58964.6854  13.680   0.043  18.414  12.058  73.085   2.863  5.0  0.0110      78.50      79.76
U        58965.4158  13.382   0.041  18.324  12.056  96.175   3.663  5.0  0.0110      80.46      81.75
U        58968.2949  12.605   0.040  18.055  12.055 196.835   7.223  5.0  0.0110     158.78   40280.67
U        58974.5143    NULL    NULL  17.238  12.049    NULL    NULL  5.0  0.0110      47.01      47.76
U        58976.7153  11.952   0.039  18.170  11.026 359.151  13.050  5.0  0.0036      44.51      46.78
U        58978.6365  12.176   0.040  17.126  12.051 292.067  10.660  5.0  0.0110      25.36      25.76
U        58980.1602  12.139   0.039  18.407  11.026 302.169  10.986  5.0  0.0036      73.08      76.77
U        58982.0812  12.318   0.040  18.379  11.026 256.332   9.362  5.0  0.0036      53.08      55.78
U        58990.3135  13.116   0.041  18.669  11.027 122.947   4.598  5.0  0.0036      76.51   11586.09
U        58992.7153  13.346   0.041  18.624  11.027  99.473   3.796  5.0  0.0036      61.66      64.77
U        59001.5264  14.314   0.055  17.561  12.068  40.771   2.067  5.0  0.0110      13.55      13.77
U        59001.6017  14.321   0.048  18.664  11.027  40.499   1.797  5.0  0.0036      49.28      51.77
U        59004.2232  14.606   0.049  18.861  11.027  31.161   1.411  5.0  0.0036      94.06    5705.91
U        59007.4844  15.051   0.056  18.884  11.027  20.688   1.075  5.0  0.0036      94.74    6947.65
U        59010.5039  15.322   0.063  18.886  11.027  16.112   0.935  3.0  0.0036      98.56   46646.58
U        59013.7546  15.255   0.064  18.814  11.027  17.134   1.003  5.0  0.0036      72.11      75.77
U        59016.8137  15.393   0.066  18.842  11.027  15.100   0.919  3.0  0.0036      77.80      81.78
U        59024.3412  15.561   0.063  18.799  12.069  12.924   0.753  3.0  0.0110     143.24    6208.56
U        59031.1105  15.593   0.066  18.733  12.071  12.557   0.759  3.0  0.0110     115.61    5622.57
U        59038.1762  15.804   0.067  18.716  12.082  10.340   0.641  3.0  0.0110     135.37   23134.88
U        59045.5110  15.886   0.073  18.584  12.091   9.588   0.644  3.0  0.0110     102.65   74213.30
#                                                                                           
B        58961.1045  17.516   0.124  18.906  12.853   4.341   0.498  3.0  0.0110      78.52      79.78
B        58962.1926  16.248   0.062  19.001  12.854  13.963   0.800  3.0  0.0110     157.03    4810.12
B        58963.4914  15.387   0.054  18.775  12.848  30.859   1.529  5.0  0.0110      81.47      82.78
B        58964.6864  14.751   0.046  18.649  12.845  55.410   2.340  5.0  0.0110      78.52      79.78
B        58965.4168  14.453   0.044  18.574  12.843  72.885   2.936  5.0  0.0110      80.48      81.76
B        58968.2955  13.624   0.041  18.149  12.838 156.444   5.892  5.0  0.0110      66.54   40261.62
B        58974.5149    NULL    NULL  17.488  12.826    NULL    NULL  5.0  0.0110      47.02      47.77
B        58976.7158  12.688   0.040  18.246  11.797 370.612  13.497  5.0  0.0036      32.43      34.08
B        58980.1609  12.689   0.040  18.284  11.797 370.220  13.474  5.0  0.0036      35.25      37.03
B        58982.0818  12.762   0.040  18.239  11.797 346.024  12.619  5.0  0.0036      28.53      29.98
B        58990.2472  13.208   0.040  17.902  11.798 229.554   8.561  5.0  0.0036      11.38      11.96
B        58992.7158  13.382   0.041  18.328  11.799 195.456   7.293  5.0  0.0036      24.23      25.46
B        59001.6021  14.179   0.047  17.373  11.799  93.870   4.074  5.0  0.0036       4.37       4.59
B        59004.1910  14.433   0.050  17.378  11.799  74.297   3.447  5.0  0.0036       4.23       4.44
B        59007.4850  14.771   0.046  18.829  11.799  54.382   2.300  5.0  0.0036      46.23    6921.60
B        59010.5044  14.944   0.048  18.855  11.799  46.399   2.030  5.0  0.0036      51.25   46636.68
B        59013.7560  15.048   0.046  19.068  11.799  42.147   1.781  5.0  0.0036     150.47     158.11
B        59016.8148  15.092   0.048  18.990  11.799  40.473   1.774  5.0  0.0036      85.20      89.56
B        59024.3421  15.330   0.053  18.828  12.865  32.499   1.591  5.0  0.0110     143.25    6178.86
B        59031.1112  15.409   0.056  18.772  12.871  30.218   1.555  5.0  0.0110     115.69    5624.97
B        59038.1771  15.557   0.061  18.771  12.890  26.379   1.483  5.0  0.0110     135.35   23115.39
B        59045.5115  15.625   0.067  18.642  12.911  24.782   1.525  5.0  0.0110     102.67   74187.77
#                                                                                           
V        58961.1092  17.622   0.209  18.266  11.617   1.280   0.246  3.0  0.0110      78.52      79.78
V        58962.1700  16.319   0.099  18.249  11.617   4.251   0.388  3.0  0.0110      78.52      79.78
